Movie ID,Average Rating,Error from Avg,User Rating,Model Prediction,Model Error
82,3.7203,1.2797,5.0000,3.2853,1.7147
916,3.1667,1.8333,5.0000,3.2160,1.7840
1030,2.2500,2.7500,5.0000,3.2089,1.7911
637,3.0263,1.0263,2.0000,3.8248,1.8248
356,3.3814,1.3814,2.0000,3.8606,1.8606
247,1.8000,3.2000,5.0000,3.0867,1.9133
550,3.2848,1.2848,2.0000,3.9233,1.9233
758,1.7143,0.7143,1.0000,2.9261,1.9261
133,3.8713,1.8713,2.0000,3.9404,1.9404
445,3.5000,1.5000,2.0000,4.0053,2.0053
84,3.0000,2.0000,5.0000,2.9860,2.0140
188,3.6824,1.6824,2.0000,4.0373,2.0373
508,3.5953,1.5953,2.0000,4.0416,2.0416
202,3.7643,1.7643,2.0000,4.0733,2.0733
127,4.2833,2.2833,2.0000,4.1115,2.1115
1029,2.0000,1.0000,1.0000,3.1314,2.1314
145,2.4462,1.4462,1.0000,3.2132,2.2132
940,2.3438,1.3438,1.0000,3.2380,2.2380
1034,2.5185,1.5185,1.0000,3.2922,2.2922
122,2.3396,1.3396,1.0000,3.3040,2.3040
185,4.1004,2.1004,2.0000,4.3160,2.3160
717,2.8171,1.8171,1.0000,3.3847,2.3847
590,2.0000,1.0000,1.0000,3.4336,2.4336
413,2.6364,1.6364,1.0000,3.5339,2.5339
450,2.3968,1.3968,1.0000,3.6615,2.6615
444,2.7174,1.7174,1.0000,3.7070,2.7070
573,2.9394,1.9394,1.0000,3.7916,2.7916
226,3.3554,2.3554,1.0000,3.8194,2.8194
403,3.4279,2.4279,1.0000,3.8880,2.8880
400,2.7222,1.7222,1.0000,3.9883,2.9883
257,3.7459,2.7459,1.0000,4.0796,3.0796
211,3.9126,2.9126,1.0000,4.1908,3.1908
195,3.9336,2.9336,1.0000,4.2047,3.2047
526,3.8306,2.8306,1.0000,4.2079,3.2079
432,3.7701,2.7701,1.0000,4.2928,3.2928
Average:,3.1901,1.5144,3.7190,3.7335,1.4294
Variance:,0.3742,0.4567,2.5537,0.1208,0.5399
