Movie ID,Average Rating,Error from Avg,User Rating,Model Prediction,Model Error
384,2.7826,2.2174,5.0000,3.5735,1.4265
79,4.0446,1.0446,3.0000,4.4556,1.4556
99,3.7093,1.2907,5.0000,3.5406,1.4594
679,3.0467,1.9533,5.0000,3.5266,1.4734
1031,2.2857,2.7143,5.0000,3.4997,1.5003
94,3.0876,1.9124,5.0000,3.4961,1.5039
216,3.9103,1.0897,5.0000,3.4708,1.5292
838,2.7500,0.7500,2.0000,3.5461,1.5461
1035,3.1618,1.8382,5.0000,3.4035,1.5965
1029,2.0000,1.0000,1.0000,2.6563,1.6563
139,2.7800,0.7800,2.0000,3.6689,1.6689
444,2.7174,1.7174,1.0000,2.7472,1.7472
247,1.8000,3.2000,5.0000,3.2408,1.7592
1014,3.0612,1.9388,5.0000,3.2392,1.7608
288,3.4414,1.5586,5.0000,3.2384,1.7616
188,3.6824,1.6824,2.0000,3.7799,1.7799
1030,2.2500,2.7500,5.0000,3.2122,1.7878
393,3.4115,1.5885,5.0000,3.1929,1.8071
447,3.5041,1.4959,5.0000,3.1690,1.8310
22,4.1515,0.8485,5.0000,3.1227,1.8773
573,2.9394,1.9394,1.0000,2.8774,1.8774
402,3.4647,1.5353,5.0000,3.0905,1.9095
508,3.5953,1.5953,2.0000,3.9329,1.9329
84,3.0000,2.0000,5.0000,3.0512,1.9488
452,2.6667,2.3333,5.0000,3.0029,1.9971
590,2.0000,1.0000,1.0000,3.0368,2.0368
383,2.0645,0.0645,2.0000,4.0488,2.0488
445,3.5000,1.5000,2.0000,4.0713,2.0713
768,3.0769,1.9231,5.0000,2.9253,2.0747
145,2.4462,1.4462,1.0000,3.0793,2.0793
202,3.7643,1.7643,2.0000,4.1081,2.1081
678,2.8082,2.1918,5.0000,2.8899,2.1101
916,3.1667,1.8333,5.0000,2.8233,2.1767
122,2.3396,1.3396,1.0000,3.2116,2.2116
326,3.3600,1.6400,5.0000,2.6850,2.3150
940,2.3438,1.3438,1.0000,3.3438,2.3438
127,4.2833,2.2833,2.0000,4.4021,2.4021
413,2.6364,1.6364,1.0000,3.4157,2.4157
1034,2.5185,1.5185,1.0000,3.4643,2.4643
185,4.1004,2.1004,2.0000,4.6317,2.6317
226,3.3554,2.3554,1.0000,3.6620,2.6620
673,3.5233,1.4767,5.0000,2.3092,2.6908
717,2.8171,1.8171,1.0000,3.7181,2.7181
681,2.4444,2.5556,5.0000,2.1580,2.8420
450,2.3968,1.3968,1.0000,3.9277,2.9277
133,3.8713,1.8713,2.0000,4.9594,2.9594
211,3.9126,2.9126,1.0000,4.1081,3.1081
400,2.7222,1.7222,1.0000,4.1713,3.1713
144,3.8724,1.1276,5.0000,1.7760,3.2240
257,3.7459,2.7459,1.0000,4.3263,3.3263
432,3.7701,2.7701,1.0000,4.5419,3.5419
526,3.8306,2.8306,1.0000,4.9350,3.9350
403,3.4279,2.4279,1.0000,4.9650,3.9650
195,3.9336,2.9336,1.0000,5.1148,4.1148
Average:,3.1901,1.5144,3.7190,3.6844,1.4748
Variance:,0.3711,0.4529,2.5326,0.4260,0.7780
